1INCH/BUSD;ETH
1INCH/USD;ETH
AAVE/BTC;ETH
AAVE/BUSD;ETH
AAVE/ETH;ETH
AAVE/USD;ETH
ACA/BUSD;ACALA
ACA/USD;ACALA
ACH/BUSD;ETH
ACH/USD;ETH
ADA/AUD;ADA
ADA/BTC;ADA
ADA/BUSD;ADA
ADA/ETH;ADA
ADA/EUR;ADA
ADA/GBP;ADA
ADA/USD;ADA
ADA/USDC;ADA
ADA/USDT;ADA
ADX/BUSD;ETH
ADX/USD;ETH
AGLD/BUSD;ETH
AGLD/USD;ETH
ALCX/BUSD;ETH
ALCX/USD;ETH
ALGO/BTC;ALGO 14
ALGO/BUSD;ALGO 14
ALGO/ETH;ALGO 14
ALGO/USD;ALGO 14
ALGO/USDC;ALGO 14
ALGO/USDT;ALGO 14
ALICE/BUSD;ETH
ALICE/USD;ETH
ALPHA/BUSD;ETH
ALPHA/USD;ETH
ANKR/BTC;ETH
ANKR/BUSD;ETH
ANKR/USD;ETH
ANKR/USDC;ETH
ANT/BTC;ETH
ANT/BUSD;ETH
ANT/USD;ETH
APE/BUSD;ETH
APE/EUR;ETH
APE/USD;ETH
APE/USDT;ETH
API3/BUSD;ETH
API3/USD;ETH
APT/BUSD;APT 5
APT/EUR;APT 5
APT/USD;APT 5
ARPA/BUSD;ETH
ARPA/USD;ETH
ASTR/BUSD;ASTR 2
ASTR/USD;ASTR 2
ATOM/BTC;COSMOS
ATOM/BUSD;COSMOS
ATOM/ETH;COSMOS
ATOM/EUR;COSMOS
ATOM/USD;COSMOS
ATOM/USDC;COSMOS
ATOM/USDT;COSMOS
AUD/BUSD;FIAT
AUD/USD;FIAT
AUD/USDC;FIAT
AUDIO/BUSD;ETH
AUDIO/USD;ETH
AVAX/BUSD;AVAX 1
AVAX/EUR;AVAX 1
AVAX/USD;AVAX 1
AVAX/USDT;AVAX 1
AXS/BUSD;ETH
AXS/USD;ETH
BADGER/BUSD;ETH
BADGER/USD;ETH
BAL/BTC;ETH
BAL/BUSD;ETH
BAL/USD;ETH
BAND/BUSD;ETH
BAND/USD;ETH
BAT/BTC;ETH
BAT/BUSD;ETH
BAT/ETH;ETH
BAT/USD;ETH
BAT/USDC;ETH
BCH/BTC;BITC 150
BCH/BUSD;BITC 150
BCH/EUR;BITC 150
BCH/USD;BITC 150
BCH/USDC;BITC 150
BCH/USDT;BITC 150
BICO/BUSD;ETH
BICO/USD;ETH
BLZ/BUSD;ETH
BLZ/USD;ETH
BNT/BTC;ETH
BNT/BUSD;ETH
BNT/USD;ETH
BOND/BUSD;ETH
BOND/USD;ETH
BTC/AUD;BTC 40
BTC/BUSD;BTC 41
BTC/DAI;BTC 42
BTC/EUR;BTC 43
BTC/GBP;BTC 44
BTC/USDC;BTC 45
BTC/USDT;BTC 46
BTT/BUSD;TRC - 2
BTT/EUR;TRC - 2
BTT/USD;TRC - 2
BTT/USDC;TRC - 2
C98/BUSD;ETH
C98/USD;ETH
CELR/BUSD;ETH
CELR/USD;ETH
CHR/BUSD;ETH
CHR/USD;ETH
CHZ/BUSD;ETH
CHZ/EUR;ETH
CHZ/USD;ETH
COMP/BTC;ETH
COMP/BUSD;ETH
COMP/USD;ETH
COTI/BUSD;ETH
COTI/USD;ETH
CRV/BTC;ETH
CRV/BUSD;ETH
CRV/ETH;ETH
CRV/USD;ETH
CTSI/BUSD;ETH
CTSI/USD;ETH
CVC/BUSD;ETH
CVC/USD;ETH
CVX/BUSD;ETH
CVX/USD;ETH
DAI/BUSD;ETH
DAI/USD;ETH
DAI/USDT;ETH
DASH/BTC;DASH 5
DASH/BUSD;DASH 5
DASH/USD;DASH 5
DENT/BUSD;ETH
DENT/USD;ETH
DOGE/BTC;DOGE 40
DOGE/BUSD;DOGE 40
DOGE/EUR;DOGE 40
DOGE/USD;DOGE 40
DOGE/USDC;DOGE 40
DOGE/USDT;DOGE 40
DOT/AUD;DOT 1
DOT/BTC;DOT 1
DOT/BUSD;DOT 1
DOT/ETH;DOT 1
DOT/EUR;DOT 1
DOT/GBP;DOT 1
DOT/USD;DOT 1
DOT/USDT;DOT 1
DYDX/BUSD;ETH
DYDX/USD;ETH
EGLD/BUSD;EGLD 1
EGLD/EUR;EGLD 1
EGLD/USD;EGLD 1
ENJ/BTC;ETH
ENJ/BUSD;ETH
ENJ/EUR;ETH
ENJ/GBP;ETH
ENJ/USD;ETH
ENS/BUSD;ETH
ENS/USD;ETH
EOS/BTC;EOS 1
EOS/BUSD;EOS 1
EOS/ETH;EOS 1
EOS/EUR;EOS 1
EOS/USD;EOS 1
EOS/USDC;EOS 1
EOS/USDT;EOS 1
ETC/BTC;ETH
ETC/BUSD;ETH
ETC/ETH;ETH
ETC/EUR;ETH
ETC/USD;ETH
ETC/USDC;ETH
ETH/AUD;ETH
ETH/BTC;ETH
ETH/BUSD;ETH
ETH/DAI;ETH
ETH/EUR;ETH
ETH/GBP;ETH
ETH/USDC;ETH
ETH/USDT;ETH
EUR/BUSD;FIAT
EUR/USD;FIAT
FARM/BUSD;ETH
FARM/USD;ETH
FET/BUSD;FET 1
FET/USD;FET 1
FIDA/BUSD;SOL 1
FIDA/USD;SOL 1
FIL/BTC;FIL 100
FIL/BUSD;FIL 100
FIL/ETH;FIL 100
FIL/USD;FIL 100
FIS/BUSD;ETH
FIS/USD;ETH
FLOW/BTC;FLOW 1
FLOW/BUSD;FLOW 1
FLOW/USD;FLOW 1
FORTH/BUSD;ETH
FORTH/USD;ETH
FTM/BUSD;FTM 1
FTM/EUR;FTM 1
FTM/USD;FTM 1
FTM/USDC;FTM 1
FXS/BUSD;ETH
FXS/USD;ETH
GAL/BUSD;ETH
GAL/EUR;ETH
GAL/USD;ETH
GALA/BUSD;ETH
GALA/EUR;ETH
GALA/USD;ETH
GBP/BUSD;FIAT
GBP/USD;FIAT
GHST/BUSD;ETH
GHST/USD;ETH
GLMR/BUSD;GLMR 1
GLMR/USD;GLMR 1
GMT/BUSD;SOL 1
GMT/EUR;SOL 1
GMT/USD;SOL 1
GNO/BTC;ETH
GNO/BUSD;ETH
GNO/USD;ETH
GRT/BTC;ETH
GRT/BUSD;ETH
GRT/ETH;ETH
GRT/EUR;ETH
GRT/USD;ETH
GTC/BUSD;ETH
GTC/USD;ETH
HFT/BUSD;ETH
HFT/USD;ETH
ICP/BUSD;ICP 1
ICP/EUR;ICP 1
ICP/USD;ICP 1
ICX/BTC;ICX 1
ICX/BUSD;ICX 1
ICX/ETH;ICX 1
ICX/USD;ICX 1
IDEX/BUSD;ETH
IDEX/USD;ETH
IMX/BUSD;ETH
IMX/USD;ETH
INJ/BUSD;-
INJ/USD;-
JASMY/BUSD;ETH
JASMY/EUR;ETH
JASMY/USD;ETH
KAVA/BTC;KAVA 1
KAVA/BUSD;KAVA 1
KAVA/ETH;KAVA 1
KAVA/USD;KAVA 1
KEEP/BTC;ETH
KEEP/BUSD;ETH
KEEP/USD;ETH
KEY/BUSD;ETH
KEY/USD;ETH
KNC/BTC;ETH
KNC/BUSD;ETH
KNC/ETH;ETH
KNC/USD;ETH
KP3R/BUSD;ETH
KP3R/USD;ETH
KSM/AUD;KSM 1
KSM/BTC;KSM 1
